time,open,high,low,close,tick_volume,spread,real_volume
2026-03-09 19:45:00,1.16234,1.16334,1.16082,1.16085,3026,8,0
2026-03-09 20:00:00,1.16086,1.16164,1.16084,1.16144,1283,8,0
2026-03-09 20:15:00,1.16144,1.16193,1.16116,1.16176,736,8,0
2026-03-09 20:30:00,1.16176,1.16278,1.16141,1.16277,750,8,0
2026-03-09 20:45:00,1.16276,1.16367,1.16241,1.16354,829,8,0
2026-03-09 21:00:00,1.16347,1.1635,1.16297,1.16346,86,14,0
2026-03-09 21:15:00,1.16346,1.16347,1.16332,1.16337,155,10,0
2026-03-09 21:30:00,1.16337,1.16347,1.16321,1.16331,115,13,0
2026-03-09 21:45:00,1.16331,1.16367,1.16328,1.16367,290,8,0
2026-03-09 22:00:00,1.16367,1.16452,1.16316,1.16452,818,8,0
2026-03-09 22:15:00,1.16452,1.16454,1.1626400000000001,1.1629,831,8,0
2026-03-09 22:30:00,1.16291,1.16333,1.16221,1.1623,780,8,0
2026-03-09 22:45:00,1.16231,1.16303,1.16231,1.16294,526,8,0
2026-03-09 23:00:00,1.16294,1.16305,1.16221,1.16266,753,8,0
2026-03-09 23:15:00,1.16266,1.16311,1.16251,1.1627,609,8,0
2026-03-09 23:30:00,1.1627,1.1627,1.16151,1.16157,613,8,0
2026-03-09 23:45:00,1.16157,1.16182,1.16144,1.16162,568,8,0
2026-03-10 00:00:00,1.16162,1.16177,1.16112,1.16147,1256,8,0
2026-03-10 00:15:00,1.16147,1.1628,1.16138,1.16277,1277,8,0
2026-03-10 00:30:00,1.16277,1.16352,1.16232,1.16341,1265,8,0
2026-03-10 00:45:00,1.16341,1.16342,1.16215,1.16258,1272,8,0
2026-03-10 01:00:00,1.16259,1.16276,1.16214,1.16246,1811,8,0
2026-03-10 01:15:00,1.16246,1.16295,1.16143,1.16164,1433,8,0
2026-03-10 01:30:00,1.16164,1.1618,1.16128,1.16146,1181,8,0
2026-03-10 01:45:00,1.16146,1.1621299999999999,1.16115,1.16197,1302,8,0
2026-03-10 02:00:00,1.16197,1.16222,1.1617,1.16221,1106,8,0
2026-03-10 02:15:00,1.16221,1.16266,1.16204,1.16247,855,8,0
2026-03-10 02:30:00,1.16247,1.16253,1.16178,1.16193,777,8,0
2026-03-10 02:45:00,1.16193,1.16204,1.16113,1.16128,900,8,0
2026-03-10 03:00:00,1.16128,1.16154,1.16097,1.16119,793,8,0
2026-03-10 03:15:00,1.16119,1.16147,1.16099,1.161,596,8,0
2026-03-10 03:30:00,1.161,1.16116,1.16092,1.16102,524,8,0
2026-03-10 03:45:00,1.16102,1.16112,1.16075,1.16092,716,8,0
2026-03-10 04:00:00,1.16092,1.1612,1.16066,1.1612,619,8,0
2026-03-10 04:15:00,1.1612,1.16121,1.16096,1.1611,444,8,0
2026-03-10 04:30:00,1.1611,1.16124,1.16099,1.1611799999999999,382,8,0
2026-03-10 04:45:00,1.1611799999999999,1.16139,1.16104,1.16114,313,8,0
2026-03-10 05:00:00,1.16114,1.1618,1.16112,1.16165,718,8,0
2026-03-10 05:15:00,1.16165,1.16197,1.16164,1.16182,542,8,0
2026-03-10 05:30:00,1.16182,1.16189,1.16143,1.16145,388,8,0
2026-03-10 05:45:00,1.16144,1.162,1.16143,1.162,700,8,0
2026-03-10 06:00:00,1.162,1.16289,1.162,1.16282,684,8,0
2026-03-10 06:15:00,1.16282,1.16304,1.16261,1.1628,683,8,0
2026-03-10 06:30:00,1.1628,1.1636,1.16269,1.16351,738,8,0
2026-03-10 06:45:00,1.16351,1.16373,1.16289,1.16322,783,8,0
2026-03-10 07:00:00,1.16322,1.16415,1.16283,1.16289,1521,8,0
2026-03-10 07:15:00,1.16288,1.1645699999999999,1.1627399999999999,1.1644700000000001,1086,8,0
2026-03-10 07:30:00,1.1644700000000001,1.16525,1.16414,1.1652,1240,8,0
2026-03-10 07:45:00,1.16521,1.16633,1.16519,1.16602,1533,8,0
2026-03-10 08:00:00,1.16602,1.16615,1.16493,1.16513,2036,8,0
2026-03-10 08:15:00,1.16514,1.16556,1.16474,1.1654,1551,8,0
2026-03-10 08:30:00,1.1654,1.16595,1.16477,1.1655,1465,8,0
2026-03-10 08:45:00,1.1655,1.16566,1.16428,1.16455,1381,8,0
2026-03-10 09:00:00,1.16455,1.16567,1.16435,1.16546,1242,8,0
2026-03-10 09:15:00,1.16546,1.16577,1.16498,1.16527,1129,8,0
2026-03-10 09:30:00,1.16526,1.16585,1.16519,1.1657899999999999,828,8,0
2026-03-10 09:45:00,1.1657899999999999,1.16587,1.16505,1.1651,1170,8,0
2026-03-10 10:00:00,1.16511,1.16514,1.16451,1.16466,1201,8,0
2026-03-10 10:15:00,1.16466,1.16467,1.16418,1.16445,1144,8,0
2026-03-10 10:30:00,1.16445,1.16445,1.162,1.16356,1826,8,0
2026-03-10 10:45:00,1.16355,1.16395,1.16309,1.16392,1165,8,0
2026-03-10 11:00:00,1.16392,1.16528,1.16381,1.16448,2124,8,0
2026-03-10 11:15:00,1.16448,1.16473,1.16393,1.16436,1437,8,0
2026-03-10 11:30:00,1.16436,1.1644700000000001,1.16372,1.1643,1325,8,0
2026-03-10 11:45:00,1.1643,1.16475,1.1635900000000001,1.1638,1158,8,0
